año,mes,fecha,barrio,distrito,latitud,longitud,precio_habitacion_eur,precio_vs_beca_mec_eur,anuncios_activos,matches_realizados,usuarios_activos_mes,pct_erasmus,eco_score,co2_ahorrado_kg_mes,pct_transporte_publico,distancia_universidad_km,tiempo_desplazamiento_min,indice_accesibilidad_beca,demanda_estimada_estudiantes,ratio_oferta_demanda,fraudes_detectados,contratos_digitales_firmados,satisfaccion_media,ods11_precio_accesible,alerta_precio_accesibilidad,universidad_referencia,perfil_dominante
2023,1,2023-01-01,Ruzafa,Quatre Carreres,39.4635,-0.3765,440,90,21,10,71,0.24,D,235,0.83,3.4,28,125.7,256,0.08,0,7,4.7,NO,CRITICO,UV,ERASMUS
2023,1,2023-01-01,Benimaclet,Benimaclet,39.4815,-0.357,393,43,32,20,94,0.36,A,536,0.59,1,17,112.3,315,0.1,1,16,4.3,SI,ALTO,UPV,JOVEN_PROFESIONAL
2023,1,2023-01-01,El Carmen,Ciutat Vella,39.4735,-0.3775,418,68,51,27,131,0.2,B,410,0.39,1.2,10,119.4,417,0.12,4,20,4,NO,ALTO,UV,ESTUDIANTE
2023,1,2023-01-01,Campanar,Campanar,39.451,-0.339,341,-9,27,8,64,0.12,D,237,0.68,1.7,19,97.4,186,0.15,1,4,3.8,SI,MEDIO,UPV,ESTUDIANTE
2023,1,2023-01-01,Patraix,Patraix,39.4605,-0.3605,333,-17,52,19,165,0.39,A,215,0.56,2.8,24,95.1,616,0.08,4,11,4.5,SI,MEDIO,UPV,JOVEN_PROFESIONAL
2023,1,2023-01-01,Algirós,Algirós,39.478,-0.3395,350,0,43,26,123,0.44,C,744,0.55,4.2,30,100,446,0.1,3,21,4.2,SI,MEDIO,UPV,JOVEN_PROFESIONAL
2023,1,2023-01-01,Extramurs,Extramurs,39.469,-0.382,400,50,47,24,79,0.3,C,273,0.66,3.6,30,114.3,257,0.18,3,17,3.2,NO,ALTO,UV,ERASMUS
2023,1,2023-01-01,El Pla del Remei,Eixample,39.467,-0.373,461,111,22,14,75,0.21,C,189,0.65,1.4,16,131.7,246,0.09,0,11,4.7,NO,CRITICO,UV,ESTUDIANTE
2023,1,2023-01-01,Mestalla,Quatre Carreres,39.465,-0.365,381,31,44,12,148,0.37,D,295,0.81,4.7,34,108.9,486,0.09,3,6,4.7,SI,ALTO,UPV,JOVEN_PROFESIONAL
2023,1,2023-01-01,La Saïdia,La Saïdia,39.478,-0.375,341,-9,53,16,147,0.23,D,271,0.58,2.7,26,97.4,372,0.14,4,9,4.1,SI,MEDIO,UV,ERASMUS
2023,1,2023-01-01,Benicalap,Benicalap,39.49,-0.38,314,-36,40,11,69,0.37,C,196,0.79,2.2,18,89.7,234,0.17,2,6,3.2,SI,BAJO,UV,JOVEN_PROFESIONAL
2023,1,2023-01-01,Orriols,La Saïdia,39.485,-0.368,304,-46,39,11,74,0.14,C,289,0.65,2.6,24,86.9,253,0.15,2,6,3.3,SI,BAJO,UV,ESTUDIANTE
2023,1,2023-01-01,Torrefiel,La Saïdia,39.487,-0.362,286,-64,42,15,73,0.41,B,216,0.81,2.6,22,81.7,226,0.19,3,9,3.2,SI,BAJO,UV,JOVEN_PROFESIONAL
2023,1,2023-01-01,Ciutat Universitaria,Algirós,39.482,-0.345,384,34,42,20,123,0.19,D,411,0.49,3.9,28,109.7,464,0.09,2,14,4.3,SI,ALTO,UPV,ESTUDIANTE
2023,1,2023-01-01,Arrancapins,Patraix,39.458,-0.375,324,-26,54,25,179,0.15,B,354,0.72,2.2,23,92.6,539,0.1,4,17,4.6,SI,MEDIO,UV,ESTUDIANTE
2023,2,2023-02-01,Ruzafa,Quatre Carreres,39.4635,-0.3765,434,84,52,22,175,0.43,D,221,0.64,3.2,34,124,548,0.09,4,14,4.7,NO,CRITICO,UV,JOVEN_PROFESIONAL
2023,2,2023-02-01,Benimaclet,Benimaclet,39.4815,-0.357,387,37,21,9,46,0.4,B,187,0.58,4.2,40,110.6,131,0.16,0,6,3.6,SI,ALTO,UPV,JOVEN_PROFESIONAL
2023,2,2023-02-01,El Carmen,Ciutat Vella,39.4735,-0.3775,447,97,49,31,151,0.41,D,837,0.75,4.9,35,127.7,601,0.08,3,26,4.4,NO,CRITICO,UV,JOVEN_PROFESIONAL
2023,2,2023-02-01,Campanar,Campanar,39.451,-0.339,366,16,52,15,176,0.27,D,176,0.4,2.6,20,104.6,627,0.08,4,8,4.7,SI,MEDIO,UPV,ERASMUS
2023,2,2023-02-01,Patraix,Patraix,39.4605,-0.3605,342,-8,31,18,54,0.12,A,540,0.49,1.2,15,97.7,205,0.15,1,14,3.2,SI,MEDIO,UPV,ESTUDIANTE
2023,2,2023-02-01,Algirós,Algirós,39.478,-0.3395,361,11,25,14,63,0.23,D,220,0.57,4.6,37,103.1,238,0.11,1,11,3.9,SI,MEDIO,UPV,ERASMUS
2023,2,2023-02-01,Extramurs,Extramurs,39.469,-0.382,389,39,55,35,130,0.33,D,705,0.74,1.6,20,111.1,333,0.17,4,30,3.8,SI,ALTO,UV,JOVEN_PROFESIONAL
2023,2,2023-02-01,El Pla del Remei,Eixample,39.467,-0.373,472,122,41,23,69,0.16,C,304,0.85,3.1,32,134.9,238,0.17,2,18,3.2,NO,CRITICO,UV,ESTUDIANTE
2023,2,2023-02-01,Mestalla,Quatre Carreres,39.465,-0.365,405,55,46,27,100,0.33,B,743,0.62,3.9,28,115.7,390,0.12,3,21,3.6,NO,ALTO,UPV,ERASMUS
2023,2,2023-02-01,La Saïdia,La Saïdia,39.478,-0.375,356,6,41,20,93,0.36,B,217,0.55,1.8,18,101.7,264,0.16,2,14,3.7,SI,MEDIO,UV,JOVEN_PROFESIONAL
2023,2,2023-02-01,Benicalap,Benicalap,39.49,-0.38,328,-22,46,19,90,0.4,D,437,0.38,4.8,43,93.7,328,0.14,3,12,3.4,SI,MEDIO,UV,JOVEN_PROFESIONAL
2023,2,2023-02-01,Orriols,La Saïdia,39.485,-0.368,294,-56,41,18,138,0.22,B,468,0.72,4.2,36,84,377,0.11,2,12,4.7,SI,BAJO,UV,ERASMUS
